job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
web前端开发工程师,https://www.lagou.com/jobs/6864327.html,南山区,15k-25k,深圳市城市屋超科技有限公司,3-5年,本科,行业前景大，平台成长足,"注明：该岗位项目开发阶段工作地点在东莞南城，项目上线之后搬到深圳南山。预计今年7月份上线，拿着深圳的薪酬在东莞工作也不适为一种好的选择哦。东莞工作期间公司解决住宿，欢迎您的加入！岗位职责:1、根据公司业务需求，开发H5/PC/小程序应用；2、负责对公司产品进行维护和持续升级；3、优化产品性能。任职要求：1、统招本科及以上学历，2年以上web前端开发/小程序开发经验；2、熟练使用HTML、CSS、JavaScript；3、熟悉使用vue.js开发；了解后台对接流程；4、熟悉微信小程序开发框架: mpvue,wepy或者uni-app；5、熟悉前端自动化构建，vue-cli, webpack, npm, gulp等；6、具有良好的编程技巧和文档编写能力；7、能迅速适应工作环境以及抗压能力。","消费生活,企业服务",150-500人,web,广东
TME-QQ音乐商业化Web前端工程师（深圳）,https://www.lagou.com/jobs/6934618.html,南山区,30k-60k,腾讯科技（深圳）有限公司,不限,本科,BAT,"岗位要求：至少三年以上从事JavaScript开发的经历；扎实的 javascript 基础知识；能够熟练运用 HTML、CSS、JavaScript 开发高性能的web应用程序；熟悉Web性能优化, 有性能优化实践经验；具有良好的代码风格、接口设计与程序架构意识；具有良好的沟通能力和团队合作精神；思路清晰，优秀的分析问题和解决问题的能力；加分项:计算机专业或软件工程等相关专业；掌握服务器端编程语言并有实践经验；持续坚持写技术博客1年以上；对开源项目有贡献；github个人原创项目有50个星以上；在**业界技术大会有过分享良好的借力意识(站在巨人的肩膀上)；良好的软件工程意识；对技术有持续的热忱和激情；热爱音乐。岗位职责：负责QQ音乐Web产品（包括PC端和移动端）的前端开发和维护，参与产品的技术选型和调研；与产品经理、交互设计师一起讨论产品设计，与后台工程师合作制定最佳技术实现方案；前沿技术学习研究和应用。",社交,2000人以上,web,广东
UQ0617-腾讯音乐广告web前端开发工程师,https://www.lagou.com/jobs/6819666.html,南山区,15k-30k,腾讯科技（深圳）有限公司,1-3年,不限,大平台,"岗位职责：负责腾讯音乐广告产品的前端开发和维护，参与产品的技术选型和调研；与产品经理、交互设计师一起讨论产品设计，与后台工程师合作制定最佳技术实现方案；前沿技术学习研究和应用。岗位要求：扎实的 javascript 基础知识，至少三年以上从事JavaScript开发的经历；能够熟练运用 HTML、CSS、JavaScript 开发高性能的web应用程序；熟悉Web性能优化, 有性能优化实践经验；具有良好的代码风格、接口设计与程序架构意识；具有良好的沟通能力和团队合作精神；思路清晰，优秀的分析问题和解决问题的能力；加分项:计算机专业或软件工程等相关专业；掌握服务器端编程语言并有实践经验；持续坚持写技术博客1年以上；对开源项目有贡献；github个人原创项目有50个星以上；在**业界技术大会有过分享良好的借力意识(站在巨人的肩膀上)；良好的软件工程意识；对技术有持续的热忱和激情；热爱音乐。",社交,2000人以上,web,广东
web前端高级工程师,https://www.lagou.com/jobs/7217398.html,龙岗区,15k-30k,深圳天天舞苑文化产业有限公司,3-5年,本科,充满挑战，从0到1打造一款全新的教育产品,岗位职责：负责搭建平台前端架构，完成平台相关业务的前端开发任务；配合产品，UI设计师一起共同探讨用户体验更好的产品交互方式；配合测试工程师进行测试，能不断优化代码并保持良好的兼容性；岗位要求：计算机相关专业，三年以上相关工作经验；拥有良好的HTML、CSS、JavaScript，NodeJS技术实力，熟练掌握WEB领域最新标准（H5，ES6，CSS3）；对前端组件化和模块化有深入的理解和实践，并能灵活运用相关的设计模式。熟练掌握至少一种前端MVVM框架（如Vue／React-Native／Angular），Vue优先，深入源码级；熟练掌握至少一种前端构建工具（如webpack／gulp）；对性能优化有深入理解和实践；具有良好的沟通能力和团队合作精神，优秀的分析问题和解决问题的能力，对技术有热情。能独立完成前端架构搭建者。大家最感兴趣的：1. 公司实力：成立于2013年，多条业务线同步发展，持续盈利，业务量呈持续上升阶段。2. 交通便利：坐标在坂田天安云谷，楼下10号线8月开通，距离岗头地铁口步行3分钟。3. 薪酬福利：薪酬在同行业中具有竞争力，每年两次调薪机会，团建活动丰富。4. 职业发展：专注于技术开发，良好的技术氛围为每个技术人提供良好的成长平台。5. 企业文化：团队年轻，有活力，希望新加盟的员工也能跟着团队产品一起成长，保持长效稳定的共同进步，打破中小软件企业跳槽频繁的职业怪圈。,电商,150-500人,web,广东
web前端工程师,https://www.lagou.com/jobs/7217336.html,龙岗区,10k-20k,深圳天天舞苑文化产业有限公司,1-3年,本科,充满挑战，从0到1打造一款全新的教育产品,岗位职责：负责前端开发，完成平台相关业务的前端开发任务；配合产品，UI设计师一起共同探讨用户体验更好的产品交互方式；配合测试工程师进行测试，能不断优化代码并保持良好的兼容性；岗位要求：计算机相关专业；拥有良好的HTML、CSS、JavaScript，NodeJS技术实力，熟练掌握WEB领域最新标准（H5，ES6，CSS3）；熟练掌握至少一种前端MVVM框架（如Vue／React-Native／Angular），Vue优先；熟练掌握至少一种前端构建工具（如webpack／gulp）；具有良好的沟通能力和团队合作精神，优秀的分析问题和解决问题的能力，对技术有热情。大家最感兴趣的：1. 公司实力：成立于2013年，多条业务线同步发展，持续盈利，业务量呈持续上升阶段。2. 交通便利：坐标在坂田天安云谷，楼下10号线8月开通，距离岗头地铁口步行3分钟。3. 薪酬福利：薪酬在同行业中具有竞争力，每年两次调薪机会，团建活动丰富。4. 职业发展：专注于技术开发，良好的技术氛围为每个技术人提供良好的成长平台。5. 企业文化：团队年轻，有活力，希望新加盟的员工也能跟着团队产品一起成长，保持长效稳定的共同进步，打破中小软件企业跳槽频繁的职业怪圈。,电商,150-500人,web,广东
web前端开发工程师,https://www.lagou.com/jobs/5470854.html,南山区,9k-18k,深圳市汇合发展有限公司,不限,本科,双休、加班费、年终奖等,1、熟悉HTML5/CSS3/JS，掌握Angular/React/Vue中一种或多种开发框架，熟悉React框架优先。2、具备良好的沟通能力，对于用户体验、视觉及交互设计有一定的理解；3、熟悉SVN、GIT 等常用管理工具优先；4、具备良好的沟通能力，对于用户体验、视觉及交互设计有一定的理解。1、二本以上计算机相关专业；2、需要懂vue框架，需要精通，马上能上手的。,"企业服务,金融",2000人以上,web,广东
web前端开发工程师,https://www.lagou.com/jobs/6616838.html,龙岗区,17k-30k,上海易立德信息技术股份有限公司深圳分公司,5-10年,本科,大数据项目、公司福利好,"岗位要求：1、全日制本科及以上学历，计算机相关专业，5年以上（含5年）软件开发工作经验;2、精通HTML、JS、css等前端技术； 3、精通使用VSCODE,webstorm等开发工具； 4、精通使用vue指令，会使用VUE提供的API，第3方插件及使用； 5、精通使用VUE 配套的UI； 6、擅长解决 VUE 框架 与其它框架系统集成的兼容问题，及数据传递问题； 7、熟悉掌握MVVM 思想，MVVM 实现原理；岗位职责：1、负责系统的前端功能设计、开发和实现，并保持代码在各浏览器下的良好兼容性。2、与后端工程师协作，高效完成产品的数据交互和功能展示，提升产品界面的易用性和运行效率。",软件开发,500-2000人,web,广东
web前端开发工程师,https://www.lagou.com/jobs/6559678.html,天河区,12k-18k,广东梵大集团有限公司,3-5年,大专,福利好、老板好、团队合作,"岗位职责：1、负责移动（H5和小程序）、PC等前端应用的构建工作，并且和设计师、后端工程师紧密沟通协作；2、解决不同浏览器及不同版本的兼容性问题； 3、负责产品线易用性改进和Web界面技术优化，对UI细节有很好的把握。任职要求：1、计算机或相关专业毕业，4年以上前端开发经验；2、熟悉微服务，云函数开发者优先；3、熟练掌握各种移动端web应用远程调试技巧，至少掌握一种抓包工具如 Fiddler 或 Charles；4、精通HTML5标准； 5、精通CSS3，掌握css3各种动画技巧； 6、精通JavaScript(掌握EcmaScript 6标准)； 7、精通响应式页面布局，精通移动端屏幕适配方法（REM方式）； 8、熟练掌握Vuejs2.0并有过项目实践； 9、精通Jquery, lodash或underscore； 10、熟练掌握Bootstrap库，或更多UI库； 11、熟练掌握Vue CLI，Parcel 、Webpack2.0, Gulp等至少一种构建工具； 12、熟练掌握Node.js，能独立开发服务器端渲染的Web应用者优先； 13、熟悉NPM, cnpm操作； 14、熟悉HTTP协议及缓存，了解基本的浏览器渲染及网络传输过程，了解RESTful风格的Ajax接口设计概念；15、了解web应用的各种性能优化技巧，并能应用到实际的项目当中；16、熟悉各种PC端和移动端浏览器的特性，编写出兼容代码； 17、熟悉WebSocket、Canvas；18、熟练掌握Git源代码版本管理工具； 19、熟练使用Photoshop，掌握精确图片切割技巧，能高精度还原设计稿效果； 20、良好的英语文档阅读能力； 21、良好的前端代码编写习惯，良好的沟通协调能力，富有团队合作精神。","移动互联网,其他",150-500人,web,广东
软件测试（Web测试）,https://www.lagou.com/jobs/5052659.html,南山区,15k-25k,深圳苹果树数据科技有限公司,5-10年,本科,"氛围活跃,技术提升,技术大牛",工作职责：1. 参与互联网金融产品测试的全流程，包括参与需求分析，设计评审，制定测试计划和编写测试用例，进行bug跟踪和软件质量分析；2. 可独立承担项目测试工作，参与敏捷测试流程，从需求到上线的全过程，版本迭代迅速；3. 负责对测试问题进行跟踪分析和报告，推动测试中发现问题的及时修改和合理解决；4. 与产品和开发人员良好沟通，善于团队合作，提高工作效率； 工作要求：1.计算机及其他相关专业全日制本科以上学历；2.至少5年以上软件测试工作经验；3.对测试方法，常用技术，以及web应用有深入了解，熟悉TCP/IP，http等网络协议；4.逻辑能力强，了解软件测试周期，熟练编写测试用例；5.熟悉数据库操作及SQL语句，了解Linux常用命令；6.熟悉自动化测试工具Loadrunner或Jmeter等，熟练使用抓包工具；7.能够独立负责项目测试，保证进度，有丰富的项目经验，大型项目经验优先；8.具备分析问题和定位问题的能力，工作细致认真，有耐心；,"金融,数据服务",150-500人,web,广东
Web前端开发,https://www.lagou.com/jobs/3370136.html,南山区,20k-30k,深圳苹果树数据科技有限公司,3-5年,本科,"腾讯规范,微信+金蝶",职位职责：1、参与核心系统的设计和编码，输出高质量的代码； 2、抽象并不断丰富组件库，提高研发效率，更好地支撑业务迭代； 3、不断优化现有产品，提高系统速度、稳定性和可扩展性，不断提升用户体验；4、对前端工程化问题进行探索，并提出建设性的解决方案； 5、重点、难点的技术攻坚，及对新技术的探索；职位要求：1、本科以上学历，3年以上前端经验；计算机等相关专业、英语良好者优先； 2、精通Javascript、HTML、CSS。熟练使用原生JS编程，熟悉ES6。熟悉React、Vue等前端框架 3、熟练掌握常用的数据结构/算法，良好的设计和编码品味； 4、熟悉：响应式设计、性能优化，浏览器兼容性，组件化开发，移动端Web经验，安全性等; 5、对设计和用户体验有一定的鉴赏能力； 6、较好的产品意识，愿意将产品效果做为工作最重要的驱动因素； 7、做事标准高，积极主动，良好的沟通能力。学习能力强，有团队精神；有以下经验者优先： 1） 主导过大中型项目，有前端架构设计经验； 2） 大型复杂UI项目的研发经验;3） 熟悉移动端开发（e.g. 微信小程序、Android、iOS）;  GitHub优秀开源项目，Stack Overflow 答案贡献狂人，QCon、ArchSummit讲师。,"金融,数据服务",150-500人,web,广东
